genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[28, 878, 53, 80]",31867,en,Repo Men,12.437000000000001,2010-03-19,Repo Men,6.2,976,111.0,32000000.0,18409891.0,tt1053424,0.0,"['Relativity Media', 'Stuber Productions', 'Universal Pictures', 'DENTSU']"
"[16, 28]",43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140,25.0,0.0,0.0,tt1701223,0.0,"['DC Comics', 'Warner Premiere', 'Warner Bros. Animation', 'DC Entertainment']"
[16],28874,ja,サマーウォーズ,12.275,2010-10-13,Summer Wars,7.5,447,114.0,0.0,80768.0,tt1474276,0.0,"['Madhouse', 'Nippon Television Network Corporation', 'Kadokawa Shoten Publishing', 'D.N. Dream Partners', 'Warner Bros. Japan', 'Yomiuri Television', 'VAP']"
"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,140.0,40000000.0,359126022.0,tt1155076,0.0,"['Jerry Weintraub Productions', 'Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'Sony Pictures']"
"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,92.0,15000000.0,76196538.0,tt1196141,0.0,"['Dayday Films', 'Color Force', 'Dune Entertainment']"
"[9648, 27, 28]",29427,en,The Crazies,12.245999999999999,2010-02-26,The Crazies,6.2,1036,101.0,20000000.0,54956140.0,tt0455407,0.0,"['Penn Station Entertainment', 'Participant Media', 'Overture Films', 'Imagenation Abu Dhabi FZ']"
"[28, 53, 80, 9648]",33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,147.0,4000000.0,43498108.0,tt1343097,0.0,"['Nordisk Film', 'Yellow Bird', 'ZDF', 'SVT', 'Film i Väst']"
"[35, 10749]",39451,en,Little Fockers,12.152999999999999,2010-12-21,Little Fockers,5.6,1883,98.0,100000000.0,310650585.0,tt0970866,0.0,"['Universal Pictures', 'Paramount', 'Relativity Media', 'Tribeca Productions', 'Everyman Pictures', 'DreamWorks Pictures', 'CJ Entertainment']"
"[28, 12, 35, 80, 53]",39514,en,RED,12.082,2010-10-14,RED,6.6,4162,111.0,58000000.0,71664962.0,tt1245526,0.0,"['Summit Entertainment', 'Di Bonaventura Pictures', 'DC Comics', 'DC Entertainment']"
"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,115.0,25000000.0,114977104.0,tt0989757,0.0,['Screen Gems']
[27],22894,en,Legion,12.032,2010-01-22,Legion,5.3,1154,100.0,26000000.0,67918658.0,tt1038686,0.0,"['Screen Gems', 'Bold Films']"
"[12, 14, 16, 878]",37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,115.0,22000000.0,68625104.0,tt0495596,0.0,['Studio Ghibli']
"[10749, 35]",25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990,100.0,19000000.0,29922472.0,tt1216492,0.0,"['Birnbaum / Barber Productions', 'Universal Pictures', 'Spyglass Entertainment', 'Octagon Films', 'BenderSpink']"
"[35, 10749, 18]",38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,114.0,38000000.0,105610124.0,tt1055292,0.0,"['Josephson Entertainment', 'Gold Circle Films']"
"[18, 28, 53, 80, 9648]",24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,130.0,4422952.0,67126795.0,tt1216487,0.0,"['Nordisk Film', 'ZDF', 'Film Capital Stockholm', 'Spiltan Underhållning', 'Svenska Filminstitutet', 'SVT', 'Film i Väst']"
"[18, 53]",38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384,108.0,22000000.0,25806953.0,tt0977855,0.0,"['River Road Entertainment', 'Participant Media']"
"[35, 10402, 10770]",44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878,104.0,0.0,0.0,tt1252380,0.0,"['Disney Channel', 'Alan Sacks Productions']"
